timestamp,category,department,sender,message,status
2025-07-23 23:43:56,Attendance,electronic,Anonymous,hii,resolved
2025-07-24 02:06:47,Behavior,electronic,Anonymous,hii,resolved
2025-07-24 02:07:19,Behavior,electronic,Anonymous,hii,resolved
2025-07-24 02:07:24,Behavior,electronic,Anonymous,hii,resolved
2025-07-24 02:07:53,Behavior,electronic,Anonymous,hii,resolved
2025-07-24 02:08:17,Behavior,design,Anonymous,hii,Pending
2025-07-24 02:08:31,Resignations,design,Anonymous,hello,resolved
2025-07-24 02:08:31,Behavior,design,Anonymous,hii,Pending
2025-07-24 02:08:58,Resignations,electrical,Anonymous,hello,resolved
2025-07-24 02:08:58,Behavior,electrical,Anonymous,hii,Pending
2025-07-24 02:09:33,Resignations,electrical,Anonymous,hello,resolved
2025-07-24 02:09:33,Behavior,electrical,Anonymous,hii,Pending
2025-07-24 02:10:46,Resignations,design,Anonymous,hello,resolved
2025-07-24 02:11:18,Resignations,design,Anonymous,hello,resolved
